Stupanj obrazovanja,proportion
"Visoka stručna sprema (diplomski studij, magisterij)",45.45454545454545
Srednja stručna sprema,25.97402597402597
Viša stručna sprema (preddiplomski studij),23.376623376623375
Specijalistički i postdiplomski studij,3.896103896103896
Niža stručna sprema,1.2987012987012987
