Područje struke,proportion
Tehničke znanosti,66.23376623376623
Društvene znanosti,18.181818181818183
Biomedicina i zdravstvo,5.194805194805195
Humanističke znanosti,5.194805194805195
Umjetnost,3.896103896103896
Prirodne znanosti,1.2987012987012987
